Model,Parameters,BLEU,Sentence_BLEU,Perplexity,Mean_Latency_ms,Median_Latency_ms,P95_Latency_ms,Training_Time_min
Vanilla RNN,1998651,6.839471671654144e-154,0.27554755920905566,213.4851053769416,13.590412789994843,13.00104899996768,16.353885199896467,11.991879473583335
GRU Seq2Seq,2524987,0.19648265866408393,0.5945396937934238,100.30034896701957,14.472154100003536,14.027747499881116,16.607207300091883,9.655461844916665
Bahdanau Attention,4062779,0.7522446644290979,1.1627093663423118,49.59786352322424,38.73876780999581,38.061340500007645,45.8909939002524,21.937308698266666
Luong Attention,3996987,0.47606958532111565,0.9018585957279451,59.106813404780105,27.612024050022228,27.12684599964632,31.017771650158465,20.631976706166665
